movie_id,title,audience,release_date,country,director,producer,actor1,actor2,actor3,genre,screen,running_time,rating,series,holiday
20140431,메이즈 러너,2812427,2014-09-18,미국,웨스 볼,,딜런 오브라이언,카야 스코델라리오,윌 폴터,액션|미스터리|SF|스릴러,655,113,12세이상관람가,메이즈 러너: 스코치 트라이얼,11
20141661,리들,1,2014-09-18,미국,존 O. 하트먼,,엘리자베스 하노이스,발 킬머,윌리엄 새들러,미스터리|스릴러,1,99,청소년관람불가,,11
20141504,토네이도,369,2014-09-17,미국,토도 채프카노브,,제이슨 런던,웨스 브라운,,SF,6,86,15세이상관람가,,10
20070445,입술은 안돼요,2296,2007-09-06,프랑스,알랭 레네,,사빈느 아젬마,이사벨 난티,,멜로/로맨스|뮤지컬,3,115,15세이상관람가,,13
20149962,곤충왕국 3D,11263,2014-08-14,한국,김진만,(주)MBC,김성주,김민국,김민율,다큐멘터리,39,85,전체관람가,,13
20149462,천하무적 키코리키,21889,2014-07-17,러시아,데니스 체르노프,,,,,애니메이션|어드벤처,186,90,전체관람가,,10
20149861,워커즈,479,2014-07-23,일본,모리 야스유키,,,,,다큐멘터리,1,94,전체관람가,,9
20140227,불완전한 사랑 완전한 섹스,10,2014-08-14,이탈리아,프란체스카 무치,,안나,카밀라,,멜로/로맨스,1,91,청소년관람불가,,13
20140426,나의 첫번째 장례식,6446,2014-09-11,벨기에,샘 가바르스키,,모리츠 블라이브트로이,패트리시아 아퀘트,,코미디,17,95,15세이상관람가,,11
20140096,벨라 키스,1964,2014-07-30,독일,루시앙 포스트너,,크리스티나 크레브,,,공포(호러)|미스터리|스릴러,19,106,청소년관람불가,,9
20140063,원피스 : 에피소드 오브 메리 ~ 또 하나의 동료 이야기 ~,3959,2014-08-28,일본,토코로 카츠미,,타나카,야마구치,오카무라,애니메이션|판타지|어드벤처,79,106,15세이상관람가,,12
20048439,블랙 키스,140,2014-08-28,일본,테즈카 마코토,,하시모토 레이카,마츠오카 슌스케,안도 마사노부,스릴러,1,132,청소년관람불가,,12
20140093,마더 데레사의 편지,9091,2014-08-21,미국,윌리엄 리에드,,줄리엣 스티븐슨,룻거 하우어,막스 본 시도우,드라마,65,114,전체관람가,,12
20149311,우리 사랑하는 동안,405,2014-09-13,미국,캣 코이로,,케이트 보스워스,제이미 블랙리,클레어 블룸,드라마,1,82,청소년관람불가,,12
20147719,커피 한잔이 섹스에 미치는 영향,3797,2014-06-26,미국,스테이시 패숀,,매기 시프,로빈 웨이거트,,드라마,8,96,청소년관람불가,,9
